Source,station,AccessMode,Brd_OD,Brd_Direct_OD,Brd_Transfer_OD
TDM,01-PROVO CENTRAL STATION,drive,369.385,143.41,225.975
TDM,02-OREM CENTRAL STATION,drive,1369.605,604.29,765.315
TDM,03-AMERICAN FORK STATION,drive,763.34,760.49,2.85
TDM,04-LEHI STATION,drive,772.105,731.29,40.815
TDM,05-DRAPER STATION,drive,607.625,605.03,2.595
TDM,06-SOUTH JORDAN STATION,drive,731.335,709.175,22.16
TDM,07-MURRAY CENTRAL STATION,drive,1675.57,515.815,1159.755
TDM,08-SALT LAKE CENTRAL STATION,drive,1316.51,261.35,1055.16
TDM,09-NORTH TEMPLE STATION,drive,1650.635,714.68,935.955
TDM,10-WOODS CROSS STATION,drive,519.235,488.605,30.63
TDM,11-FARMINGTON STATION,drive,480.695,266.86,213.835
TDM,12-LAYTON STATION,drive,460.16,442.14,18.02
TDM,13-CLEARFIELD STATION,drive,409.765,376.765,33.0
TDM,14-ROY STATION,drive,510.93,509.71,1.22
TDM,15-OGDEN STATION,drive,522.735,339.475,183.26
TDM,01-PROVO CENTRAL STATION,walk,701.915,98.19,603.725
TDM,02-OREM CENTRAL STATION,walk,357.315,103.15,254.165
TDM,03-AMERICAN FORK STATION,walk,46.95,41.925,5.025
TDM,04-LEHI STATION,walk,260.02,152.185,107.835
TDM,05-DRAPER STATION,walk,150.2,132.7,17.5
TDM,06-SOUTH JORDAN STATION,walk,222.26,164.245,58.015
TDM,07-MURRAY CENTRAL STATION,walk,995.985,141.89,854.095
TDM,08-SALT LAKE CENTRAL STATION,walk,769.91,77.01,692.9
TDM,09-NORTH TEMPLE STATION,walk,947.5,351.305,596.195
TDM,10-WOODS CROSS STATION,walk,260.325,165.145,95.18
TDM,11-FARMINGTON STATION,walk,402.31,116.815,285.495
TDM,12-LAYTON STATION,walk,197.57,67.725,129.845
TDM,13-CLEARFIELD STATION,walk,363.325,263.125,100.2
TDM,14-ROY STATION,walk,212.12,189.775,22.345
TDM,15-OGDEN STATION,walk,527.935,86.745,441.19
OBS,01-PROVO CENTRAL STATION,drive,1510.546,1510.546,0.0
OBS,01-PROVO CENTRAL STATION,walk,1335.111,319.299,1015.812
OBS,02-OREM CENTRAL STATION,drive,900.853,864.088,36.765
OBS,02-OREM CENTRAL STATION,walk,938.957,233.686,705.271
OBS,03-AMERICAN FORK STATION,drive,772.848,772.848,0.0
OBS,03-AMERICAN FORK STATION,walk,14.514,0.0,14.514
OBS,04-LEHI STATION,drive,821.488,821.488,0.0
OBS,04-LEHI STATION,walk,617.316,369.282,248.034
OBS,05-DRAPER STATION,drive,597.636,597.636,0.0
OBS,05-DRAPER STATION,walk,442.991,404.884,38.107
OBS,06-SOUTH JORDAN STATION,drive,616.688,616.688,0.0
OBS,06-SOUTH JORDAN STATION,walk,396.061,273.826,122.235
OBS,07-MURRAY CENTRAL STATION,drive,589.908,471.299,118.609
OBS,07-MURRAY CENTRAL STATION,walk,1351.543,240.821,1110.722
OBS,08-SALT LAKE CENTRAL STATION,drive,518.835,472.902,45.933
OBS,08-SALT LAKE CENTRAL STATION,walk,1570.717,493.701,1077.016
OBS,09-NORTH TEMPLE STATION,drive,411.107,393.477,17.63
OBS,09-NORTH TEMPLE STATION,walk,2529.531,1238.61,1290.921
OBS,10-WOODS CROSS STATION,drive,442.753,442.753,0.0
OBS,10-WOODS CROSS STATION,walk,156.426,128.816,27.61
OBS,11-FARMINGTON STATION,drive,285.257,285.257,0.0
OBS,11-FARMINGTON STATION,walk,217.221,190.002,27.219
OBS,12-LAYTON STATION,drive,622.265,622.265,0.0
OBS,12-LAYTON STATION,walk,229.785,145.5,84.285
OBS,13-CLEARFIELD STATION,drive,496.899,482.896,14.003
OBS,13-CLEARFIELD STATION,walk,178.247,93.513,84.734
OBS,14-ROY STATION,drive,424.983,424.983,0.0
OBS,14-ROY STATION,walk,60.121,49.805,10.316
OBS,15-OGDEN STATION,drive,918.636,910.785,7.851
OBS,15-OGDEN STATION,walk,658.767,216.156,442.611
