Station,Source,Station_Sequence,Direction,Period,Boardings,Alightings,Board+Alight / 2
American Fork Station,APC,14-American Fork Station,Northbound,1-AM Peak,414.0,26.0,220.0
American Fork Station,APC,14-American Fork Station,Northbound,2-Midday,94.0,68.0,81.0
American Fork Station,APC,14-American Fork Station,Northbound,3-PM Peak,92.0,98.0,95.0
American Fork Station,APC,14-American Fork Station,Northbound,4-Evening,24.0,23.0,23.5
American Fork Station,APC,14-American Fork Station,Southbound,1-AM Peak,155.0,54.0,104.5
American Fork Station,APC,14-American Fork Station,Southbound,2-Midday,45.0,220.0,132.5
American Fork Station,APC,14-American Fork Station,Southbound,3-PM Peak,31.0,302.0,166.5
American Fork Station,APC,14-American Fork Station,Southbound,4-Evening,6.0,37.0,21.5
American Fork Station,OBS,14-American Fork Station,Northbound,1-AM Peak,364.07189999999997,0.0,182.03594999999999
American Fork Station,OBS,14-American Fork Station,Northbound,4-Evening,12.20608,55.58292,33.8945
American Fork Station,OBS,14-American Fork Station,Northbound,2-Midday,67.28517000000001,81.54336,74.414265
American Fork Station,OBS,14-American Fork Station,Northbound,3-PM Peak,67.08185,171.84756,119.464705
American Fork Station,OBS,14-American Fork Station,Southbound,1-AM Peak,151.99617,85.24807000000001,118.62212000000001
American Fork Station,OBS,14-American Fork Station,Southbound,4-Evening,4.54549,63.25453,33.90001
American Fork Station,OBS,14-American Fork Station,Southbound,2-Midday,58.67148,146.78191,102.726695
American Fork Station,OBS,14-American Fork Station,Southbound,3-PM Peak,36.14454,227.46931999999998,131.80693
Clearfield Station,APC,03-Clearfield Station,Northbound,1-AM Peak,34.0,69.0,51.5
Clearfield Station,APC,03-Clearfield Station,Northbound,2-Midday,40.0,257.0,148.5
Clearfield Station,APC,03-Clearfield Station,Northbound,3-PM Peak,26.0,314.0,170.0
Clearfield Station,APC,03-Clearfield Station,Northbound,4-Evening,6.0,46.0,26.0
Clearfield Station,APC,03-Clearfield Station,Southbound,1-AM Peak,463.0,31.0,247.0
Clearfield Station,APC,03-Clearfield Station,Southbound,2-Midday,132.0,18.0,75.0
Clearfield Station,APC,03-Clearfield Station,Southbound,3-PM Peak,101.0,18.0,59.5
Clearfield Station,APC,03-Clearfield Station,Southbound,4-Evening,24.0,8.0,16.0
Clearfield Station,OBS,03-Clearfield Station,Northbound,1-AM Peak,40.02189,96.89115,68.45652
Clearfield Station,OBS,03-Clearfield Station,Northbound,4-Evening,8.61967,36.33449,22.47708
Clearfield Station,OBS,03-Clearfield Station,Northbound,2-Midday,56.01072,144.31727999999998,100.16399999999999
Clearfield Station,OBS,03-Clearfield Station,Northbound,3-PM Peak,46.32748,206.74133999999998,126.53441
Clearfield Station,OBS,03-Clearfield Station,Southbound,1-AM Peak,331.51306,129.2892,230.40113
Clearfield Station,OBS,03-Clearfield Station,Southbound,4-Evening,13.44432,30.349400000000003,21.89686
Clearfield Station,OBS,03-Clearfield Station,Southbound,2-Midday,77.6865,46.0079,61.8472
Clearfield Station,OBS,03-Clearfield Station,Southbound,3-PM Peak,68.11969,21.35531,44.737500000000004
Draper Station,APC,12-Draper Station,Northbound,1-AM Peak,192.0,156.0,174.0
Draper Station,APC,12-Draper Station,Northbound,2-Midday,123.0,138.0,130.5
Draper Station,APC,12-Draper Station,Northbound,3-PM Peak,175.0,123.0,149.0
Draper Station,APC,12-Draper Station,Northbound,4-Evening,26.0,40.0,33.0
Draper Station,APC,12-Draper Station,Southbound,1-AM Peak,183.0,208.0,195.5
Draper Station,APC,12-Draper Station,Southbound,2-Midday,131.0,103.0,117.0
Draper Station,APC,12-Draper Station,Southbound,3-PM Peak,92.0,139.0,115.5
Draper Station,APC,12-Draper Station,Southbound,4-Evening,13.0,15.0,14.0
Draper Station,OBS,12-Draper Station,Northbound,1-AM Peak,200.87993,220.59168,210.735805
Draper Station,OBS,12-Draper Station,Northbound,4-Evening,42.5493,42.20676,42.37803
Draper Station,OBS,12-Draper Station,Northbound,2-Midday,85.79994,159.6562,122.72807
Draper Station,OBS,12-Draper Station,Northbound,3-PM Peak,190.58305,102.69639,146.63971999999998
Draper Station,OBS,12-Draper Station,Southbound,1-AM Peak,141.7273,189.51778000000002,165.62254000000001
Draper Station,OBS,12-Draper Station,Southbound,4-Evening,22.9291,6.3118,14.620449999999998
Draper Station,OBS,12-Draper Station,Southbound,2-Midday,150.81669,63.50076,107.158725
Draper Station,OBS,12-Draper Station,Southbound,3-PM Peak,106.21395000000001,220.92876,163.571355
Farmington Station,APC,05-Farmington Station,Northbound,1-AM Peak,28.0,54.0,41.0
Farmington Station,APC,05-Farmington Station,Northbound,2-Midday,50.0,127.0,88.5
Farmington Station,APC,05-Farmington Station,Northbound,3-PM Peak,58.0,146.0,102.0
Farmington Station,APC,05-Farmington Station,Northbound,4-Evening,14.0,23.0,18.5
Farmington Station,APC,05-Farmington Station,Southbound,1-AM Peak,174.0,47.0,110.5
Farmington Station,APC,05-Farmington Station,Southbound,2-Midday,75.0,39.0,57.0
Farmington Station,APC,05-Farmington Station,Southbound,3-PM Peak,64.0,28.0,46.0
Farmington Station,APC,05-Farmington Station,Southbound,4-Evening,19.0,9.0,14.0
Farmington Station,OBS,05-Farmington Station,Northbound,1-AM Peak,6.72325,51.59923,29.16124
Farmington Station,OBS,05-Farmington Station,Northbound,4-Evening,16.10932,13.38607,14.747695
Farmington Station,OBS,05-Farmington Station,Northbound,2-Midday,57.932249999999996,81.82347,69.87786
Farmington Station,OBS,05-Farmington Station,Northbound,3-PM Peak,64.62396,110.39911000000001,87.51153500000001
Farmington Station,OBS,05-Farmington Station,Southbound,1-AM Peak,178.23199,29.43218,103.83208499999999
Farmington Station,OBS,05-Farmington Station,Southbound,4-Evening,9.02824,4.903449999999999,6.965845
Farmington Station,OBS,05-Farmington Station,Southbound,2-Midday,61.32647,44.88416,53.105315000000004
Farmington Station,OBS,05-Farmington Station,Southbound,3-PM Peak,70.44574,32.042519999999996,51.24413
Layton Station,APC,04-Layton Station,Northbound,1-AM Peak,29.0,46.0,37.5
Layton Station,APC,04-Layton Station,Northbound,2-Midday,35.0,230.0,132.5
Layton Station,APC,04-Layton Station,Northbound,3-PM Peak,34.0,301.0,167.5
Layton Station,APC,04-Layton Station,Northbound,4-Evening,8.0,41.0,24.5
Layton Station,APC,04-Layton Station,Southbound,1-AM Peak,426.0,23.0,224.5
Layton Station,APC,04-Layton Station,Southbound,2-Midday,97.0,20.0,58.5
