model,STATION_ID_1,STATION_ID_2,purpose,period,mode,trips_total
1-TDM-Recalib,01-Ogdn,02-Roy,HBC,PK,dCRT,9.6189
1-TDM-Recalib,01-Ogdn,02-Roy,HBC,PK,wCRT,6.6417
1-TDM-Recalib,01-Ogdn,02-Roy,HBO,OK,dCRT,3.3084000000000002
1-TDM-Recalib,01-Ogdn,02-Roy,HBO,OK,wCRT,47.7483
1-TDM-Recalib,01-Ogdn,02-Roy,HBO,PK,dCRT,3.0872
1-TDM-Recalib,01-Ogdn,02-Roy,HBO,PK,wCRT,15.2462
1-TDM-Recalib,01-Ogdn,02-Roy,HBW,OK,dCRT,3.3406000000000002
1-TDM-Recalib,01-Ogdn,02-Roy,HBW,OK,wCRT,15.6051
1-TDM-Recalib,01-Ogdn,02-Roy,HBW,PK,dCRT,9.2707
1-TDM-Recalib,01-Ogdn,02-Roy,HBW,PK,wCRT,26.2095
1-TDM-Recalib,01-Ogdn,02-Roy,NHB,OK,dCRT,0.3368
1-TDM-Recalib,01-Ogdn,02-Roy,NHB,OK,wCRT,2.5071
1-TDM-Recalib,01-Ogdn,02-Roy,NHB,PK,dCRT,0.1397
1-TDM-Recalib,01-Ogdn,02-Roy,NHB,PK,wCRT,0.8264
1-TDM-Recalib,01-Ogdn,03-Clrf,HBC,PK,dCRT,90.824
1-TDM-Recalib,01-Ogdn,03-Clrf,HBC,PK,wCRT,58.6783
1-TDM-Recalib,01-Ogdn,03-Clrf,HBO,OK,dCRT,15.993
1-TDM-Recalib,01-Ogdn,03-Clrf,HBO,OK,wCRT,57.0015
1-TDM-Recalib,01-Ogdn,03-Clrf,HBO,PK,dCRT,16.4488
1-TDM-Recalib,01-Ogdn,03-Clrf,HBO,PK,wCRT,22.465
1-TDM-Recalib,01-Ogdn,03-Clrf,HBW,OK,dCRT,19.5061
1-TDM-Recalib,01-Ogdn,03-Clrf,HBW,OK,wCRT,30.969
1-TDM-Recalib,01-Ogdn,03-Clrf,HBW,PK,dCRT,61.0156
1-TDM-Recalib,01-Ogdn,03-Clrf,HBW,PK,wCRT,64.9652
1-TDM-Recalib,01-Ogdn,03-Clrf,NHB,OK,dCRT,3.0022
1-TDM-Recalib,01-Ogdn,03-Clrf,NHB,OK,wCRT,8.6655
1-TDM-Recalib,01-Ogdn,03-Clrf,NHB,PK,dCRT,1.4996
1-TDM-Recalib,01-Ogdn,03-Clrf,NHB,PK,wCRT,4.2091
1-TDM-Recalib,01-Ogdn,04-Layt,HBC,PK,dCRT,33.7105
1-TDM-Recalib,01-Ogdn,04-Layt,HBC,PK,wCRT,11.4732
1-TDM-Recalib,01-Ogdn,04-Layt,HBO,OK,dCRT,8.3237
1-TDM-Recalib,01-Ogdn,04-Layt,HBO,OK,wCRT,16.2656
1-TDM-Recalib,01-Ogdn,04-Layt,HBO,PK,dCRT,7.4858
1-TDM-Recalib,01-Ogdn,04-Layt,HBO,PK,wCRT,5.3379
1-TDM-Recalib,01-Ogdn,04-Layt,HBW,OK,dCRT,11.945500000000001
1-TDM-Recalib,01-Ogdn,04-Layt,HBW,OK,wCRT,12.1351
1-TDM-Recalib,01-Ogdn,04-Layt,HBW,PK,dCRT,34.024
1-TDM-Recalib,01-Ogdn,04-Layt,HBW,PK,wCRT,21.1932
1-TDM-Recalib,01-Ogdn,04-Layt,NHB,OK,dCRT,1.6773
