model,STATION_ID_1,STATION_ID_2,purpose,period,mode,trips_total
E2.14.4__BY_2019,01-Ogdn,02-Roy,HBC,PK,dCRT,9.4348
E2.14.4__BY_2019,01-Ogdn,02-Roy,HBC,PK,wCRT,6.6424
E2.14.4__BY_2019,01-Ogdn,02-Roy,HBO,OK,dCRT,3.187
E2.14.4__BY_2019,01-Ogdn,02-Roy,HBO,OK,wCRT,47.7285
E2.14.4__BY_2019,01-Ogdn,02-Roy,HBO,PK,dCRT,3.3752
E2.14.4__BY_2019,01-Ogdn,02-Roy,HBO,PK,wCRT,15.2319
E2.14.4__BY_2019,01-Ogdn,02-Roy,HBW,OK,dCRT,3.2386
E2.14.4__BY_2019,01-Ogdn,02-Roy,HBW,OK,wCRT,15.594
E2.14.4__BY_2019,01-Ogdn,02-Roy,HBW,PK,dCRT,10.753
E2.14.4__BY_2019,01-Ogdn,02-Roy,HBW,PK,wCRT,26.1611
E2.14.4__BY_2019,01-Ogdn,02-Roy,NHB,OK,dCRT,0.3447
E2.14.4__BY_2019,01-Ogdn,02-Roy,NHB,OK,wCRT,2.5047
E2.14.4__BY_2019,01-Ogdn,02-Roy,NHB,PK,dCRT,0.1577
E2.14.4__BY_2019,01-Ogdn,02-Roy,NHB,PK,wCRT,0.825
E2.14.4__BY_2019,01-Ogdn,03-Clrf,HBC,PK,dCRT,89.94669999999999
E2.14.4__BY_2019,01-Ogdn,03-Clrf,HBC,PK,wCRT,58.7633
E2.14.4__BY_2019,01-Ogdn,03-Clrf,HBO,OK,dCRT,16.2527
E2.14.4__BY_2019,01-Ogdn,03-Clrf,HBO,OK,wCRT,56.9859
E2.14.4__BY_2019,01-Ogdn,03-Clrf,HBO,PK,dCRT,16.9612
E2.14.4__BY_2019,01-Ogdn,03-Clrf,HBO,PK,wCRT,22.4697
E2.14.4__BY_2019,01-Ogdn,03-Clrf,HBW,OK,dCRT,20.2626
E2.14.4__BY_2019,01-Ogdn,03-Clrf,HBW,OK,wCRT,30.9708
E2.14.4__BY_2019,01-Ogdn,03-Clrf,HBW,PK,dCRT,64.3428
E2.14.4__BY_2019,01-Ogdn,03-Clrf,HBW,PK,wCRT,64.9508
E2.14.4__BY_2019,01-Ogdn,03-Clrf,NHB,OK,dCRT,2.9307
E2.14.4__BY_2019,01-Ogdn,03-Clrf,NHB,OK,wCRT,8.6645
E2.14.4__BY_2019,01-Ogdn,03-Clrf,NHB,PK,dCRT,1.4756
E2.14.4__BY_2019,01-Ogdn,03-Clrf,NHB,PK,wCRT,4.208
E2.14.4__BY_2019,01-Ogdn,04-Layt,HBC,PK,dCRT,33.7346
E2.14.4__BY_2019,01-Ogdn,04-Layt,HBC,PK,wCRT,11.4838
E2.14.4__BY_2019,01-Ogdn,04-Layt,HBO,OK,dCRT,8.7669
E2.14.4__BY_2019,01-Ogdn,04-Layt,HBO,OK,wCRT,16.2638
E2.14.4__BY_2019,01-Ogdn,04-Layt,HBO,PK,dCRT,7.9743
E2.14.4__BY_2019,01-Ogdn,04-Layt,HBO,PK,wCRT,5.3405000000000005
E2.14.4__BY_2019,01-Ogdn,04-Layt,HBW,OK,dCRT,12.824
E2.14.4__BY_2019,01-Ogdn,04-Layt,HBW,OK,wCRT,12.1369
E2.14.4__BY_2019,01-Ogdn,04-Layt,HBW,PK,dCRT,36.8588
E2.14.4__BY_2019,01-Ogdn,04-Layt,HBW,PK,wCRT,21.1919
E2.14.4__BY_2019,01-Ogdn,04-Layt,NHB,OK,dCRT,2.0295
E2.14.4__BY_2019,01-Ogdn,04-Layt,NHB,OK,wCRT,6.7242
E2.14.4__BY_2019,01-Ogdn,04-Layt,NHB,PK,dCRT,0.9784
E2.14.4__BY_2019,01-Ogdn,04-Layt,NHB,PK,wCRT,2.9504
E2.14.4__BY_2019,01-Ogdn,05-Frmg,HBC,PK,dCRT,11.6842
E2.14.4__BY_2019,01-Ogdn,05-Frmg,HBC,PK,wCRT,1.8767999999999998
E2.14.4__BY_2019,01-Ogdn,05-Frmg,HBO,OK,dCRT,11.3593
E2.14.4__BY_2019,01-Ogdn,05-Frmg,HBO,OK,wCRT,43.8733
E2.14.4__BY_2019,01-Ogdn,05-Frmg,HBO,PK,dCRT,15.1126
E2.14.4__BY_2019,01-Ogdn,05-Frmg,HBO,PK,wCRT,15.8173
E2.14.4__BY_2019,01-Ogdn,05-Frmg,HBW,OK,dCRT,6.6753
E2.14.4__BY_2019,01-Ogdn,05-Frmg,HBW,OK,wCRT,8.4221
E2.14.4__BY_2019,01-Ogdn,05-Frmg,HBW,PK,dCRT,27.2952
E2.14.4__BY_2019,01-Ogdn,05-Frmg,HBW,PK,wCRT,17.5559
E2.14.4__BY_2019,01-Ogdn,05-Frmg,NHB,OK,dCRT,1.1667
E2.14.4__BY_2019,01-Ogdn,05-Frmg,NHB,OK,wCRT,6.4494
E2.14.4__BY_2019,01-Ogdn,05-Frmg,NHB,PK,dCRT,0.722
E2.14.4__BY_2019,01-Ogdn,05-Frmg,NHB,PK,wCRT,3.2061
E2.14.4__BY_2019,01-Ogdn,06-WC,HBC,PK,dCRT,29.1034
E2.14.4__BY_2019,01-Ogdn,06-WC,HBC,PK,wCRT,6.6036
E2.14.4__BY_2019,01-Ogdn,06-WC,HBO,OK,dCRT,1.2034
E2.14.4__BY_2019,01-Ogdn,06-WC,HBO,OK,wCRT,1.2606
E2.14.4__BY_2019,01-Ogdn,06-WC,HBO,PK,dCRT,1.3615
E2.14.4__BY_2019,01-Ogdn,06-WC,HBO,PK,wCRT,0.6098
E2.14.4__BY_2019,01-Ogdn,06-WC,HBW,OK,dCRT,2.3704
E2.14.4__BY_2019,01-Ogdn,06-WC,HBW,OK,wCRT,2.1386
E2.14.4__BY_2019,01-Ogdn,06-WC,HBW,PK,dCRT,15.3422
E2.14.4__BY_2019,01-Ogdn,06-WC,HBW,PK,wCRT,9.4853
E2.14.4__BY_2019,01-Ogdn,06-WC,NHB,OK,dCRT,0.8503000000000001
E2.14.4__BY_2019,01-Ogdn,06-WC,NHB,OK,wCRT,1.0673
E2.14.4__BY_2019,01-Ogdn,06-WC,NHB,PK,dCRT,0.5216000000000001
E2.14.4__BY_2019,01-Ogdn,06-WC,NHB,PK,wCRT,1.0172
E2.14.4__BY_2019,01-Ogdn,07-NTmp,HBC,PK,dCRT,18.0618
E2.14.4__BY_2019,01-Ogdn,07-NTmp,HBC,PK,wCRT,7.0843
E2.14.4__BY_2019,01-Ogdn,07-NTmp,HBO,OK,dCRT,17.3507
E2.14.4__BY_2019,01-Ogdn,07-NTmp,HBO,OK,wCRT,51.7508
E2.14.4__BY_2019,01-Ogdn,07-NTmp,HBO,PK,dCRT,24.2137
E2.14.4__BY_2019,01-Ogdn,07-NTmp,HBO,PK,wCRT,22.145599999999998
E2.14.4__BY_2019,01-Ogdn,07-NTmp,HBW,OK,dCRT,59.2448
E2.14.4__BY_2019,01-Ogdn,07-NTmp,HBW,OK,wCRT,57.1446
E2.14.4__BY_2019,01-Ogdn,07-NTmp,HBW,PK,dCRT,210.6786
E2.14.4__BY_2019,01-Ogdn,07-NTmp,HBW,PK,wCRT,94.0893
E2.14.4__BY_2019,01-Ogdn,07-NTmp,NHB,OK,dCRT,9.2002
E2.14.4__BY_2019,01-Ogdn,07-NTmp,NHB,OK,wCRT,31.7446
E2.14.4__BY_2019,01-Ogdn,07-NTmp,NHB,PK,dCRT,8.211
E2.14.4__BY_2019,01-Ogdn,07-NTmp,NHB,PK,wCRT,19.9698
E2.14.4__BY_2019,01-Ogdn,08-SLCn,HBC,PK,dCRT,9.2156
E2.14.4__BY_2019,01-Ogdn,08-SLCn,HBC,PK,wCRT,9.8056
E2.14.4__BY_2019,01-Ogdn,08-SLCn,HBO,OK,dCRT,2.6343
E2.14.4__BY_2019,01-Ogdn,08-SLCn,HBO,OK,wCRT,6.0981000000000005
E2.14.4__BY_2019,01-Ogdn,08-SLCn,HBO,PK,dCRT,5.122
E2.14.4__BY_2019,01-Ogdn,08-SLCn,HBO,PK,wCRT,1.6359
E2.14.4__BY_2019,01-Ogdn,08-SLCn,HBW,OK,dCRT,13.545
E2.14.4__BY_2019,01-Ogdn,08-SLCn,HBW,OK,wCRT,13.9606
E2.14.4__BY_2019,01-Ogdn,08-SLCn,HBW,PK,dCRT,121.3226
E2.14.4__BY_2019,01-Ogdn,08-SLCn,HBW,PK,wCRT,48.0425
E2.14.4__BY_2019,01-Ogdn,08-SLCn,NHB,OK,dCRT,1.6158000000000001
E2.14.4__BY_2019,01-Ogdn,08-SLCn,NHB,OK,wCRT,12.9414
E2.14.4__BY_2019,01-Ogdn,08-SLCn,NHB,PK,dCRT,3.0954
E2.14.4__BY_2019,01-Ogdn,08-SLCn,NHB,PK,wCRT,9.9232
E2.14.4__BY_2019,01-Ogdn,09-Murr,HBC,PK,dCRT,114.6696
E2.14.4__BY_2019,01-Ogdn,09-Murr,HBC,PK,wCRT,32.4011
E2.14.4__BY_2019,01-Ogdn,09-Murr,HBO,OK,dCRT,17.5237
E2.14.4__BY_2019,01-Ogdn,09-Murr,HBO,OK,wCRT,15.8419
E2.14.4__BY_2019,01-Ogdn,09-Murr,HBO,PK,dCRT,25.8157
E2.14.4__BY_2019,01-Ogdn,09-Murr,HBO,PK,wCRT,7.3891
E2.14.4__BY_2019,01-Ogdn,09-Murr,HBW,OK,dCRT,12.152800000000001
E2.14.4__BY_2019,01-Ogdn,09-Murr,HBW,OK,wCRT,15.3378
E2.14.4__BY_2019,01-Ogdn,09-Murr,HBW,PK,dCRT,65.0487
E2.14.4__BY_2019,01-Ogdn,09-Murr,HBW,PK,wCRT,32.9394
E2.14.4__BY_2019,01-Ogdn,09-Murr,NHB,OK,dCRT,3.0118
E2.14.4__BY_2019,01-Ogdn,09-Murr,NHB,OK,wCRT,8.2177
E2.14.4__BY_2019,01-Ogdn,09-Murr,NHB,PK,dCRT,3.3404000000000003
E2.14.4__BY_2019,01-Ogdn,09-Murr,NHB,PK,wCRT,8.2277
E2.14.4__BY_2019,01-Ogdn,10-SJ,HBC,PK,dCRT,25.2954
E2.14.4__BY_2019,01-Ogdn,10-SJ,HBO,OK,dCRT,3.4531
E2.14.4__BY_2019,01-Ogdn,10-SJ,HBO,OK,wCRT,0.7305
E2.14.4__BY_2019,01-Ogdn,10-SJ,HBO,PK,dCRT,4.4941
E2.14.4__BY_2019,01-Ogdn,10-SJ,HBO,PK,wCRT,0.3573
E2.14.4__BY_2019,01-Ogdn,10-SJ,HBW,OK,dCRT,0.6105
E2.14.4__BY_2019,01-Ogdn,10-SJ,HBW,OK,wCRT,0.461
E2.14.4__BY_2019,01-Ogdn,10-SJ,HBW,PK,dCRT,9.2083
E2.14.4__BY_2019,01-Ogdn,10-SJ,HBW,PK,wCRT,2.7504
E2.14.4__BY_2019,01-Ogdn,10-SJ,NHB,OK,dCRT,1.0477
E2.14.4__BY_2019,01-Ogdn,10-SJ,NHB,OK,wCRT,1.0165
E2.14.4__BY_2019,01-Ogdn,10-SJ,NHB,PK,dCRT,1.079
E2.14.4__BY_2019,01-Ogdn,10-SJ,NHB,PK,wCRT,1.2099
E2.14.4__BY_2019,01-Ogdn,11-Drap,HBC,PK,dCRT,12.6015
E2.14.4__BY_2019,01-Ogdn,11-Drap,HBO,OK,dCRT,3.8384
E2.14.4__BY_2019,01-Ogdn,11-Drap,HBO,OK,wCRT,0.4722
E2.14.4__BY_2019,01-Ogdn,11-Drap,HBO,PK,dCRT,4.8967
E2.14.4__BY_2019,01-Ogdn,11-Drap,HBO,PK,wCRT,0.1923
E2.14.4__BY_2019,01-Ogdn,11-Drap,HBW,OK,dCRT,0.5953
E2.14.4__BY_2019,01-Ogdn,11-Drap,HBW,OK,wCRT,0.495
E2.14.4__BY_2019,01-Ogdn,11-Drap,HBW,PK,dCRT,5.3163
E2.14.4__BY_2019,01-Ogdn,11-Drap,HBW,PK,wCRT,1.3467
E2.14.4__BY_2019,01-Ogdn,11-Drap,NHB,OK,dCRT,0.7309
E2.14.4__BY_2019,01-Ogdn,11-Drap,NHB,OK,wCRT,2.1546
E2.14.4__BY_2019,01-Ogdn,11-Drap,NHB,PK,dCRT,0.7256
E2.14.4__BY_2019,01-Ogdn,11-Drap,NHB,PK,wCRT,1.6004
E2.14.4__BY_2019,01-Ogdn,12-Lehi,HBC,PK,dCRT,11.496400000000001
E2.14.4__BY_2019,01-Ogdn,12-Lehi,HBO,OK,dCRT,2.7116000000000002
E2.14.4__BY_2019,01-Ogdn,12-Lehi,HBO,OK,wCRT,0.6065
